Approval Date,Approval Date,Company
2019-12-20,12/20/2019,AMYT
2019-12-20,12/20/2019,ITCI
2019-12-20,12/20/2019,AMGN
2019-12-23,12/23/2019,PFE
2019-12-23,12/23/2019,CTVA
2019-12-26,12/26/2019,NVS
2019-12-27,12/27/2019,BFAM
2019-12-27,12/27/2019,AZN
2019-12-27,12/27/2019,AMRX
2019-02-01,02/01/2019,BMRN
2019-02-01,02/01/2019,CEL.P
2019-02-01,02/01/2019,NVO
2019-02-01,02/01/2019,EOLS
2019-02-04,02/04/2019,GILD
2019-02-05,02/05/2019,WWD
2019-02-05,02/05/2019,SCPL
2019-02-05,02/05/2019,AMRX
2019-02-06,02/06/2019,PFE
2019-02-06,02/06/2019,AYTU
2019-02-06,02/06/2019,LCI
2019-02-06,02/06/2019,GILD
2019-02-07,02/07/2019,PFE
2019-02-07,02/07/2019,ACRS
2019-02-08,02/08/2019,MRK
2019-02-08,02/08/2019,AMRX
2019-02-11,02/11/2019,GILD
2019-02-12,02/12/2019,BHC
2019-02-13,02/13/2019,NVS
2019-02-15,02/15/2019,AMGN
2019-02-19,02/19/2019,PFE
2019-02-19,02/19/2019,NATR
2019-02-19,02/19/2019,AMRX
2019-02-21,02/21/2019,ABBV
2019-02-21,02/21/2019,NVS
2019-02-22,02/22/2019,PFE
2019-02-22,02/22/2019,GSK
2019-02-22,02/22/2019,SCPL
2019-02-22,02/22/2019,NATR
2019-02-25,02/25/2019,ABBV
2019-02-25,02/25/2019,EQRR
2019-02-27,02/27/2019,NVO
2019-02-28,02/28/2019,TARO
2019-03-01,03/01/2019,OGN
2019-03-01,03/01/2019,CTVA
2019-03-01,03/01/2019,EQRR
2019-03-01,03/01/2019,TARO
2019-03-04,03/04/2019,AMRX
2019-03-05,03/05/2019,NVS
2019-03-07,03/07/2019,CEL.P
2019-03-10,03/10/2019,CTVA
2019-03-11,03/11/2019,AZN
2019-03-11,03/11/2019,ATNX
2019-03-11,03/11/2019,SCPL
2019-03-11,03/11/2019,REGN
2019-03-11,03/11/2019,AMGN
2019-03-11,03/11/2019,PFE
2019-03-12,03/12/2019,CHNG
2019-03-12,03/12/2019,GOL
2019-03-15,03/15/2019,OGN
2019-03-18,03/18/2019,GOL
2019-03-18,03/18/2019,GILD
2019-03-18,03/18/2019,NVS
2019-03-19,03/19/2019,SAGE
2019-03-20,03/20/2019,JAZZ
2019-03-20,03/20/2019,REGN
2019-03-21,03/21/2019,CEL.P
2019-03-22,03/22/2019,TARO
2019-03-25,03/25/2019,AMRX
2019-03-26,03/26/2019,AGEN
2019-03-26,03/26/2019,SCPL
2019-03-26,03/26/2019,NVS
2019-03-26,03/26/2019,NATR
2019-03-27,03/27/2019,CLAR
2019-03-28,03/28/2019,ABBV
2019-03-28,03/28/2019,GILD
2019-03-29,03/29/2019,NVS
2019-03-29,03/29/2019,AMGN
2019-03-29,03/29/2019,AZN
2019-04-02,04/02/2019,OGN
2019-04-02,04/02/2019,SNY
2019-04-02,04/02/2019,EQRR
2019-04-03,04/03/2019,WWD
2019-04-03,04/03/2019,AZN
2019-04-03,04/03/2019,GOL
2019-04-04,04/04/2019,AZN
2019-04-04,04/04/2019,PFE
2019-04-05,04/05/2019,ACI.S
2019-04-09,04/09/2019,GSK
2019-04-09,04/09/2019,NVO
2019-04-09,04/09/2019,AMGN
2019-04-10,04/10/2019,AMRX
2019-04-10,04/10/2019,TARO
2019-04-11,04/11/2019,NVS
2019-04-11,04/11/2019,ALC
2019-04-11,04/11/2019,AMGN
2019-04-12,04/12/2019,GSK
2019-04-15,04/15/2019,TARO
2019-04-16,04/16/2019,AMGN
2019-04-18,04/18/2019,CEL.P
2019-04-18,04/18/2019,AMGN
2019-04-18,04/18/2019,PBYI
2019-04-19,04/19/2019,PFE
2019-04-22,04/22/2019,TARO
2019-04-22,04/22/2019,AMGN
2019-04-23,04/23/2019,AMRX
2019-04-23,04/23/2019,EQRR
2019-04-23,04/23/2019,ABBV
2019-04-24,04/24/2019,GILD
2019-04-24,04/24/2019,PFE
2019-04-24,04/24/2019,NVS
2019-04-25,04/25/2019,GSK
2019-04-25,04/25/2019,BHC
2019-04-26,04/26/2019,CTVA
2019-04-26,04/26/2019,SCPL
2019-04-27,04/27/2019,PFE
2019-04-30,04/30/2019,CTVA
2019-04-30,04/30/2019,AMGN
2019-04-30,04/30/2019,ABBV
2019-05-02,05/02/2019,BMRN
2019-05-02,05/02/2019,CEL.P
2019-05-03,05/03/2019,PFE
2019-05-03,05/03/2019,CTVA
2019-05-03,05/03/2019,SCPL
2019-05-03,05/03/2019,RBCN
2019-05-08,05/08/2019,MRK
2019-05-08,05/08/2019,PFE
2019-05-08,05/08/2019,AMAM
2019-05-08,05/08/2019,AMGN
2019-05-08,05/08/2019,CEL.P
2019-05-08,05/08/2019,EQRR
2019-05-09,05/09/2019,ABBV
2019-05-10,05/10/2019,ABBV
2019-05-10,05/10/2019,LLY
2019-05-10,05/10/2019,SCPL
2019-05-13,05/13/2019,REGN
2019-05-13,05/13/2019,AMGN
2019-05-13,05/13/2019,SCPL
2019-05-14,05/14/2019,LLY
2019-05-15,05/15/2019,ATH.U
2019-05-15,05/15/2019,ABBV
2019-05-15,05/15/2019,GSK
2019-05-16,05/16/2019,PFE
2019-05-17,05/17/2019,SAGE
2019-05-19,05/19/2019,TARO
2019-05-20,05/20/2019,AZN
2019-05-20,05/20/2019,SCPL
2019-05-20,05/20/2019,AMRX
2019-05-21,05/21/2019,PFE
2019-05-23,05/23/2019,AMRX
2019-05-24,05/24/2019,NVS
2019-05-24,05/24/2019,AMGN
2019-05-24,05/24/2019,INCY
2019-05-28,05/28/2019,EQRR
2019-05-28,05/28/2019,SCPL
2019-05-29,05/29/2019,NVS
2019-05-29,05/29/2019,GSK
2019-05-29,05/29/2019,RDHL
2019-05-29,05/29/2019,WWD
2019-05-29,05/29/2019,AZN
2019-05-30,05/30/2019,ABBV
2019-05-31,05/31/2019,CTVA
2019-05-31,05/31/2019,BFAM
2019-05-31,05/31/2019,AMRX
2019-06-03,06/03/2019,CEL.P
2019-06-03,06/03/2019,SCPL
2019-06-04,06/04/2019,SCPL
2019-06-04,06/04/2019,LLY
2019-06-06,06/06/2019,GSK
2019-06-07,06/07/2019,ALKS
2019-06-07,06/07/2019,PTCT
2019-06-12,06/12/2019,NVS
2019-06-13,06/13/2019,PFE
2019-06-13,06/13/2019,AMGN
2019-06-14,06/14/2019,ACI.S
2019-06-18,06/18/2019,GILD
2019-06-19,06/19/2019,PFE
2019-06-21,06/21/2019,AMRX
2019-06-24,06/24/2019,AMGN
2019-06-26,06/26/2019,REGN
2019-06-27,06/27/2019,PFE
2019-06-28,06/28/2019,RBCN
2019-06-28,06/28/2019,SCPL
2019-07-01,07/01/2019,GILD
2019-07-01,07/01/2019,AZN
2019-07-05,07/05/2019,THTX
2019-07-08,07/08/2019,SCPL
2019-07-09,07/09/2019,GSK
2019-07-10,07/10/2019,BIIB
2019-07-10,07/10/2019,LLY
2019-07-12,07/12/2019,BIIB
2019-07-12,07/12/2019,RDHL
2019-07-12,07/12/2019,EOLS
2019-07-15,07/15/2019,NBIX
2019-07-16,07/16/2019,CTVA
2019-07-16,07/16/2019,NVS
2019-07-17,07/17/2019,GSK
2019-07-18,07/18/2019,PFE
2019-07-18,07/18/2019,CEL.P
2019-07-19,07/19/2019,GSK
2019-07-19,07/19/2019,AMGN
2019-07-19,07/19/2019,EQRR
2019-07-21,07/21/2019,WNEB
2019-07-22,07/22/2019,CEL.P
2019-07-22,07/22/2019,GSK
2019-07-22,07/22/2019,BFAM
2019-07-22,07/22/2019,TARO
2019-07-23,07/23/2019,AMRX
2019-07-23,07/23/2019,PFE
2019-07-24,07/24/2019,NVS
2019-07-24,07/24/2019,LLY
2019-07-25,07/25/2019,SCPL
2019-07-25,07/25/2019,NVS
2019-07-25,07/25/2019,PFE
2019-07-25,07/25/2019,ABBV
2019-07-26,07/26/2019,PFE
2019-07-26,07/26/2019,AMGN
2019-07-31,07/31/2019,NVS
2019-07-31,07/31/2019,LLY
2019-08-01,08/01/2019,BHC
2019-08-02,08/02/2019,PKE
2019-08-02,08/02/2019,PFE
2019-08-02,08/02/2019,GILD
2019-08-05,08/05/2019,NVS
2019-08-05,08/05/2019,EQRR
2019-08-07,08/07/2019,GILD
2019-08-07,08/07/2019,TARO
2019-08-07,08/07/2019,AMRX
2019-08-08,08/08/2019,PFE
2019-08-08,08/08/2019,NVO
2019-08-08,08/08/2019,AHL-C
2019-08-09,08/09/2019,MRK
2019-08-09,08/09/2019,PFE
2019-08-12,08/12/2019,OGN
2019-08-12,08/12/2019,REGN
