,Open,High,Low,Close,Volume,TimeToApproval,Labels
0,70.19471812226996,70.79060852280683,70.13834538610061,70.37187194824219,2748150.0,21,2.0
1,69.75181144144557,69.88065555850592,68.91433839320945,69.05928802490234,3427236.0,18,2.0
2,69.08344837164847,69.2042431691787,68.38287557014768,68.76134490966797,3056724.0,17,2.0
3,68.68887633060346,69.2042460046857,67.49708867301442,68.00440216064453,4332089.0,16,2.0
4,68.59224944173047,68.59224944173047,67.40046167623285,67.8272476196289,7128115.0,15,2.0
5,67.56151248588456,67.93193252036458,67.11056486644604,67.11861419677734,4392353.0,14,2.0
6,67.07029335154498,67.22329232500564,66.40192472367615,66.42608642578125,802739.0,11,2.0
7,66.4099773762725,68.26207733154297,66.32944980075459,68.26207733154297,1387188.0,9,1.0
8,66.69987411628031,67.69840240478516,66.08787821532215,67.69840240478516,2678846.0,8,2.0
9,68.82576647502835,69.31697442240046,68.50366301537989,68.65666198730469,2036700.0,7,2.0
10,68.9626625079972,69.2445056168441,68.7855086839189,69.09955596923828,1386518.0,4,2.0
11,67.96414719708838,68.49561557364196,67.36824989278566,67.69035339355469,1752566.0,2,2.0
12,68.45535134847269,68.8579824158208,67.95608717944208,68.23793029785156,3685144.0,1,2.0
13,68.47950440876386,69.5182930839212,68.47950440876386,69.16397857666016,1963379.0,0,2.0
14,67.84334949816183,68.60030194880416,67.82724398099222,68.35066986083984,2018398.0,-3,1.0
15,69.35724920120265,69.85650653273761,69.2525599089329,69.83235168457031,2715451.0,-4,2.0
16,70.04171739361198,70.21887121515955,69.85650052948601,70.0256118774414,1146020.0,-5,2.0
17,70.87113257739487,71.02413154905534,70.62150051110825,70.95166015625,2068060.0,-6,2.0
18,70.88723577287719,71.16102267569445,70.48460474810906,70.67786407470703,2638001.0,-7,2.0
19,70.23497577715996,70.36381990477415,69.75181715493538,69.91287231445312,2220728.0,-10,2.0
20,70.73423748904958,71.16102336263926,70.52486578885828,70.75839233398438,1642975.0,-11,2.0
21,70.84698427485301,71.11271502512321,70.73424565404405,70.82282257080078,1820754.0,-12,2.0
22,71.20129498111449,71.45092705707269,71.08855636634942,71.37039947509766,2122409.0,-13,2.0
23,71.80523558519816,71.83744661530731,71.42675940957987,71.66028594970703,3063866.0,-14,0.0
24,71.08855465402102,71.20934259590972,70.76645119020827,71.12076568603516,1616303.0,-18,2.0
25,71.3220804361207,71.59586734894935,70.76645042438273,70.98387145996094,2157563.0,-19,2.0
26,70.04172202779698,70.11419342719513,69.39750819467952,69.57466888427734,1969405.0,-20,2.0
27,35.630001068115234,35.849998474121094,34.43000030517578,34.63999938964844,1004900.0,21,2.0
28,34.619998931884766,34.98500061035156,33.9900016784668,34.2400016784668,1826900.0,18,2.0
29,34.560001373291016,34.58000183105469,33.040000915527344,33.22999954223633,783100.0,17,2.0
30,33.29999923706055,33.560001373291016,32.11000061035156,32.72999954223633,1252000.0,16,2.0
31,32.81999969482422,32.849998474121094,31.020000457763672,31.1200008392334,804900.0,15,2.0
32,31.790000915527344,31.790000915527344,30.31999969482422,30.440000534057617,2712600.0,14,2.0
33,30.190000534057617,30.459999084472656,29.229999542236328,29.950000762939453,884100.0,11,1.0
34,30.280000686645508,31.049999237060547,29.719999313354492,31.040000915527344,1388200.0,9,2.0
35,30.549999237060547,30.790000915527344,29.739999771118164,30.780000686645508,986000.0,8,2.0
36,31.010000228881836,31.399999618530273,30.440000534057617,30.739999771118164,765800.0,7,2.0
37,30.8700008392334,31.415000915527344,30.40999984741211,31.18000030517578,1213200.0,4,2.0
38,30.860000610351562,31.260000228881836,30.239999771118164,30.90999984741211,1201700.0,2,2.0
39,30.65999984741211,30.65999984741211,29.290000915527344,29.84000015258789,1149900.0,1,2.0
40,30.049999237060547,31.360000610351562,29.940000534057617,31.079999923706055,3530400.0,0,1.0
41,31.020000457763672,32.18000030517578,30.850000381469727,32.0,1063400.0,-3,2.0
42,32.34000015258789,33.060001373291016,32.150001525878906,32.790000915527344,1391000.0,-4,2.0
43,32.790000915527344,33.43000030517578,32.72999954223633,33.380001068115234,894400.0,-5,2.0
44,33.189998626708984,33.970001220703125,32.970001220703125,33.880001068115234,748700.0,-6,2.0
45,33.83000183105469,33.93000030517578,33.56999969482422,33.75,639800.0,-7,2.0
46,33.540000915527344,33.689998626708984,33.29999923706055,33.59000015258789,779700.0,-10,2.0
47,33.720001220703125,34.26499938964844,33.52000045776367,34.06999969482422,867700.0,-11,2.0
48,34.189998626708984,34.959999084472656,34.189998626708984,34.630001068115234,869500.0,-12,2.0
49,34.540000915527344,35.349998474121094,34.31999969482422,35.209999084472656,1332800.0,-13,2.0
50,35.439998626708984,35.95000076293945,35.04499816894531,35.61000061035156,558500.0,-14,2.0
51,35.380001068115234,35.79999923706055,35.15999984741211,35.38999938964844,1039100.0,-18,2.0
52,35.38999938964844,35.779998779296875,34.80500030517578,35.310001373291016,801900.0,-19,2.0
53,35.099998474121094,35.75,34.92499923706055,35.599998474121094,1039800.0,-20,2.0
54,32.06429793699576,32.12423094165843,31.62763945604905,31.73894500732422,4058500.0,21,2.0
55,31.995797358458606,32.02148526172599,31.567702653174052,31.756065368652344,4396200.0,20,2.0
56,33.6140018998562,33.622565624783036,31.935871085646642,32.02149200439453,15393400.0,19,0.0
57,32.79205496325146,32.80917914401755,32.26121842391677,32.449581146240234,6731700.0,18,2.0
58,32.38965700760185,32.84343649068349,32.16704586284543,32.17560958862305,4567800.0,17,2.0
59,32.10710450969106,32.21841005316699,31.730382325907968,31.884496688842773,2187600.0,14,2.0
