,open,high,low,close,volume,timetoapproval,labels,open_sma_9,open_sma_25,ema_15,kst_13,kst_18,rsi_6,trix_12,trix_22,fi_21,fi_25,Company,Date
9468,102.5129293527733,103.12363597132003,99.3257973620477,99.4307632446289,8272700.0,21,2.0,101.58945351110488,100.63628364931202,101.08477040393632,-6.951088840889801,-7.640854429606531,45.866008755815876,0.1894754371058676,0.07469888574725067,-6303749.008543941,-6303749.008543941,ABBV,2020-12-14
9063,87.8353966825432,88.64298655839251,87.00857428485486,87.05664825439453,2339100.0,21,2.0,87.7627559654581,86.77334777090894,87.57675528625215,-13.490166820644175,-14.5239189871333,49.085165204139095,0.20903262652965304,0.08693925532966895,-1101026.2962438455,-1101026.2962438455,NVS,2020-12-14
9306,58.50422585293614,58.533287872757874,57.8842114595571,57.97140121459961,12233000.0,21,2.0,58.35861669600547,58.011908729356755,58.176295804694476,-16.38362633202376,-16.967326601160533,43.67136647140543,0.0740288155396732,0.030842274064071848,-936996.8105748402,-936996.8105748402,GILD,2020-12-14
9225,13.435095622359595,13.503096533327595,12.978515827355919,13.289379119873047,103900.0,21,2.0,13.239726148206262,13.089260014033117,13.252274503026147,-11.01988061603449,-11.510085692659796,53.10351457902708,0.20397628405961032,0.07127019974834772,-1579.0184016879487,-1579.0184016879487,PKE,2020-12-14
9360,14.569999694824219,14.989999771118164,14.529999732971191,14.579999923706055,268100.0,21,2.0,14.496666696336534,14.62866668701172,14.577941928561437,-47.11754468950385,-47.910038132788955,54.352446127449134,-0.02797903191795931,0.00010368117889080184,6468.387041019161,6468.387041019161,SCPL,2020-12-14
9441,40.05284309409363,40.091337818609574,37.59886130761646,37.73358917236328,94809700.0,21,2.0,39.76414177119735,38.21797251331383,38.80867816107738,65.71475932799291,64.95421590691761,39.825862357019496,0.5500422709731626,0.20147791808465867,-61793570.88886241,-61793570.88886241,PFE,2020-12-14
9333,7.690000057220459,7.809999942779541,7.5,7.570000171661377,448800.0,21,2.0,7.172666708628337,7.055600007375081,7.259330456340113,141.33451360749714,142.94504359936434,77.10281935662607,0.33897947713454246,0.09181038685717956,29034.838558876887,29034.838558876887,AQST,2020-12-14
9036,4.369999885559082,4.730000019073486,4.269999980926514,4.389999866485596,2163800.0,21,2.0,4.194444444444445,4.149333349863688,4.180648652670646,-77.23797206536499,-79.18910825585014,69.73094086502331,0.12032916372616943,0.02394338443669623,204421.3914004423,204421.3914004423,AMRX,2020-12-14
9414,484.1199951171875,502.6000061035156,483.54998779296875,500.3800048828125,1245800.0,21,2.0,495.59666951497394,505.16266479492185,495.80008568403105,-10.88874496688393,-10.444802095509397,55.16965508140475,-0.26998401938962885,-0.09799104954306434,6002134.929811377,6002134.929811377,REGN,2020-12-14
9144,39.53286293927948,39.76017644876263,38.26286986816103,38.307342529296875,3594000.0,21,0.0,38.037203725694546,37.98449333363908,38.06200125246642,-37.058790579228074,-37.88201043316828,59.500557691381,0.08140302522437795,0.037588001901635734,361589.5770287804,361589.5770287804,CTVA,2020-12-14
9252,40.05284309409363,40.091337818609574,37.59886130761646,37.73358917236328,94809700.0,21,2.0,39.764142208708705,38.21797277582064,38.808678472367866,65.7147683996765,64.95422497860122,39.825862357019496,0.550042317204454,0.20147793494654564,-61793567.865689225,-61793567.865689225,PFE,2020-12-14
9009,222.59368422069272,225.2223681580008,220.7507059686039,222.5742950439453,2904700.0,21,2.0,220.96303689489275,218.98662616313425,220.41859762956048,-25.652289465285605,-26.70722853091496,61.06702389925514,0.11934541560404532,0.03892349137535679,1688513.8508557368,1688513.8508557368,AMGN,2020-12-14
9171,222.59368422069272,225.2223681580008,220.7507059686039,222.5742950439453,2904700.0,21,2.0,220.9630318156554,218.98662312681572,220.41859455805061,-25.652299284351393,-26.707238930798184,61.06706966568025,0.11934564790604177,0.03892361801095467,1688517.8242383734,1688517.8242383734,AMGN,2020-12-14
8982,102.51293721866467,103.12364388407137,99.32580498338814,99.43077087402344,8272700.0,21,2.0,101.58945353962268,100.63628365799909,101.08477099152674,-6.951095718757133,-7.6408605447391285,45.86605198800399,0.18947508197837637,0.07469869060294705,-6303727.337103371,-6303727.337103371,ABBV,2020-12-14
9198,20.760000228881836,21.06999969482422,20.600000381469727,20.610000610351562,2991200.0,21,2.0,19.943333519829643,19.693333435058594,20.088801629774686,-95.88393187748598,-98.59794162091693,80.82064450529266,0.21790125486367407,0.046942298426946895,98522.38936471517,98522.38936471517,BHC,2020-12-14
9387,4.369999885559082,4.730000019073486,4.269999980926514,4.389999866485596,2163800.0,21,2.0,4.194444444444445,4.149333349863688,4.180648652670646,-77.23797206536499,-79.18910825585014,69.73094086502331,0.12032916372616943,0.02394338443669623,204421.3914004423,204421.3914004423,AMRX,2020-12-14
9117,40.05284309409363,40.091337818609574,37.59886130761646,37.73358917236328,94809700.0,21,2.0,39.76414180924372,38.21797252958081,38.808678163492424,65.71476376989975,64.95421931975977,39.82581089179178,0.5500427350133692,0.20147817241055968,-61793553.76744764,-61793553.76744764,PFE,2020-12-14
9495,40.05284309409363,40.091337818609574,37.59886130761646,37.73358917236328,94809700.0,21,2.0,39.764141356260346,38.21797226134225,38.80867789244387,65.71474872599549,64.95420540145696,39.825849351597604,0.550042224475465,0.20147789685409584,-61793572.4527613,-61793572.4527613,PFE,2020-12-14
